,district,uncontested,116first,116last,116gender,116party,2018votes,2018pct,2018margin,congress,115last,115party,115trump_votes_y,115agree_pct,elasticity,pvi_538,trumpagree_-20,trumpagree_-15,trumpagree_-10,trumpagree_-5,trumpagree_0,trumpagree_5,trumpagree_10,trumpagree_15,trumpagree_20,ypreds_-20,ypreds_-15,ypreds_-10,ypreds_-5,ypreds_0,ypreds_5,ypreds_10,ypreds_15,ypreds_20
135,IL-02,False,Robin,Kelly,0,D,188342,81.0,-62.0,115,Kelly,D,95,0.1368421052631579,0.96,-56.06,0.10947368421052632,0.11631578947368422,0.12315789473684212,0.13,0.1368421052631579,0.1436842105263158,0.1505263157894737,0.1573684210526316,0.16421052631578947,-67.10875315765531,-67.10875315765531,-67.10875315765531,-67.10875315765531,-67.10875315765531,-67.10875315765531,-68.11790476469871,-68.11790476469871,-68.11790476469871
136,IL-03,False,Dan,Lipinski,1,D,160501,73.7,-47.40000000000001,115,Lipinski,D,93,0.4086021505376344,1.0,-10.7,0.3268817204301075,0.3473118279569892,0.3677419354838709,0.38817204301075264,0.4086021505376344,0.4290322580645161,0.44946236559139785,0.46989247311827953,0.49032258064516127,-67.05152635324697,-66.00299821471883,-66.00299821471883,-66.17352202424264,-66.17352202424264,-66.17352202424264,-66.17352202424264,-66.17352202424264,-66.17352202424264
137,IL-04,False,Jesus 'Chuy',Garcia,1,D,141446,86.5,-73.0,115,Gutiérrez,D,87,0.11494252873563215,1.01,-63.26,0.09195402298850572,0.09770114942528733,0.10344827586206894,0.10919540229885055,0.11494252873563215,0.12068965517241376,0.12643678160919536,0.13218390804597696,0.1379310344827586,-67.10875315765531,-67.10875315765531,-67.10875315765531,-67.10875315765531,-67.10875315765531,-67.10875315765531,-67.10875315765531,-67.10875315765531,-67.10875315765531
138,IL-05,False,Mike,Quigley,1,D,208427,76.5,-53.0,115,Quigley,D,93,0.23655913978494625,1.05,-38.53,0.189247311827957,0.2010752688172043,0.21290322580645163,0.22473118279569892,0.23655913978494625,0.24838709677419357,0.2602150537634409,0.2720430107526882,0.2838709677419355,-68.11790476469871,-68.11790476469871,-67.56085284361875,-66.33790730562792,-66.33790730562792,-67.05152635324697,-67.05152635324697,-67.05152635324697,-67.05152635324697
139,IL-06,False,Sean,Casten,1,D,157336,52.9,-5.799999999999998,115,Roskam,R,94,0.946808510638298,1.02,2.0,0.7574468085106384,0.8047872340425533,0.8521276595744682,0.8994680851063831,0.946808510638298,0.9941489361702128,1.0414893617021277,1.0888297872340427,1.1361702127659576,37.74642521175326,37.74642521175326,37.877942453132576,37.877942453132576,37.877942453132576,37.877942453132576,38.8715375925654,38.8715375925654,38.8715375925654
140,IL-07,False,Danny,Davis,1,D,211134,87.6,-75.19999999999997,115,Davis,D,84,0.13095238095238096,0.72,-73.33,0.10476190476190476,0.11130952380952382,0.11785714285714287,0.1244047619047619,0.13095238095238096,0.1375,0.14404761904761906,0.15059523809523812,0.15714285714285714,-67.10875315765531,-67.10875315765531,-67.10875315765531,-67.10875315765531,-67.10875315765531,-67.10875315765531,-67.10875315765531,-68.11790476469871,-68.11790476469871
141,IL-08,False,Raja,Krishnamoorthi,1,D,126901,65.7,-31.40000000000001,115,Krishnamoorthi,D,95,0.2631578947368421,1.22,-16.03,0.21052631578947367,0.22368421052631576,0.23684210526315788,0.25,0.2631578947368421,0.2763157894736842,0.2894736842105263,0.3026315789473684,0.3157894736842105,-67.56085284361875,-66.33790730562792,-66.33790730562792,-67.05152635324697,-67.05152635324697,-67.05152635324697,-67.05152635324697,-67.05152635324697,-67.05152635324697
142,IL-09,False,Jan,Schakowsky,0,D,209849,73.3,-46.6,115,Schakowsky,D,96,0.11458333333333333,0.95,-36.77,0.09166666666666666,0.09739583333333332,0.103125,0.10885416666666667,0.11458333333333333,0.12031249999999999,0.12604166666666666,0.13177083333333334,0.13749999999999998,-67.10875315765531,-67.10875315765531,-67.10875315765531,-67.10875315765531,-67.10875315765531,-67.10875315765531,-67.10875315765531,-67.10875315765531,-67.10875315765531
143,IL-10,False,Brad,Schneider,1,D,152837,65.4,-30.800000000000008,115,Schneider,D,94,0.39361702127659576,1.08,-21.13,0.3148936170212766,0.3345744680851064,0.35425531914893615,0.373936170212766,0.39361702127659576,0.41329787234042553,0.43297872340425536,0.45265957446808514,0.4723404255319149,-67.05152635324697,-67.05152635324697,-66.00299821471883,-66.17352202424264,-66.17352202424264,-66.17352202424264,-66.17352202424264,-66.17352202424264,-66.17352202424264
144,IL-11,False,Bill,Foster,1,D,140929,63.6,-27.20000000000001,115,Foster,D,94,0.2340425531914893,1.11,-17.47,0.18723404255319145,0.1989361702127659,0.21063829787234037,0.22234042553191485,0.2340425531914893,0.24574468085106377,0.2574468085106382,0.26914893617021274,0.2808510638297872,-68.11790476469871,-68.11790476469871,-67.56085284361875,-66.33790730562792,-66.33790730562792,-67.05152635324697,-67.05152635324697,-67.05152635324697,-67.05152635324697
